,Date,Time,ltp,strikeprice,CE_sum,PE_sum,CE_contr,PE_contr
380,28-02-2024,14:11:11,46240.15,46200,757565,509408,59.79,40.21
381,28-02-2024,14:12:13,46245.6,46200,757565,509408,59.79,40.21
382,28-02-2024,14:13:11,46263.4,46300,810539,508105,61.47,38.53
383,28-02-2024,14:14:11,46253.25,46300,814582,521724,60.96,39.04
384,28-02-2024,14:15:12,46253.65,46300,814582,521724,60.96,39.04
385,28-02-2024,14:16:11,46238.4,46200,762483,517428,59.57,40.43
386,28-02-2024,14:17:12,46195.55,46200,755445,513759,59.52,40.48
387,28-02-2024,14:18:12,46214.9,46200,755445,513759,59.52,40.48
388,28-02-2024,14:19:13,46204.45,46200,755445,513759,59.52,40.48
389,28-02-2024,14:20:12,46194.35,46200,745195,516908,59.04,40.96
390,28-02-2024,14:21:14,46190.65,46200,745195,516908,59.04,40.96
391,28-02-2024,14:22:12,46185.3,46200,745195,516908,59.04,40.96
392,28-02-2024,14:23:12,46174.8,46200,743789,520656,58.82,41.18
393,28-02-2024,14:24:12,46171.8,46200,743789,520656,58.82,41.18
394,28-02-2024,14:25:11,46191.75,46200,743789,520656,58.82,41.18
395,28-02-2024,14:26:11,46196,46200,738286,521916,58.58,41.42
396,28-02-2024,14:27:12,46198.15,46200,738286,521916,58.58,41.42
397,28-02-2024,14:28:11,46229.45,46200,738286,521916,58.58,41.42
398,28-02-2024,14:29:12,46237.05,46200,745032,514462,59.15,40.85
399,28-02-2024,14:30:12,46231.2,46200,745032,514462,59.15,40.85
400,28-02-2024,14:31:11,46228.7,46200,745032,514462,59.15,40.85
401,28-02-2024,14:32:12,46214,46200,752367,511938,59.51,40.49
402,28-02-2024,14:33:12,46137.4,46100,529327,485651,52.15,47.85
403,28-02-2024,14:34:11,46073.35,46100,529327,485651,52.15,47.85
404,28-02-2024,14:35:13,46076.35,46100,516075,433495,54.35,45.65
405,28-02-2024,14:38:12,46085.85,46100,537256,438921,55.04,44.96
406,28-02-2024,14:39:12,46066.7,46100,537256,438921,55.04,44.96
407,28-02-2024,14:40:13,46072.1,46100,537256,438921,55.04,44.96
408,28-02-2024,14:41:12,46074.1,46100,550366,424203,56.47,43.53
409,28-02-2024,14:42:11,46058.15,46100,550366,424203,56.47,43.53
410,28-02-2024,14:43:13,46059.95,46100,550366,424203,56.47,43.53
